player_id,clicked,choice_number,new_choice_number,play_time,me_final,priority_final,people_final,refusal_final,know_final,s5_mean,s5_final,choice_ratio,gender_Female,gender_Male,race_African American,race_Caucasian,race_Hispanic,age_11.0,age_12.0,age_13.0,age_14.0,weeks_0,weeks_3,weeks_6,weeks_12,weeks_24
6427001,879,187,71,37718,30.0,30.0,29.0,26.0,30.0,3.891666666666667,3.875,0.3796791443850267,0,1,0,0,1,0,0,1,0,0,0,1,0,0
6427027,1145,58,28,36504,12.0,12.0,10.0,9.0,6.0,3.84,3.6,0.4827586206896552,0,1,0,1,0,0,1,0,0,0,0,0,0,1
6427030,872,122,56,36511,18.0,18.0,7.0,12.0,8.0,3.18,3.5,0.4590163934426229,0,1,0,0,1,1,0,0,0,0,0,0,0,1
6427032,104,18,10,3922,6.0,0.0,0.0,0.0,0.0,3.92,3.8,0.5555555555555556,0,1,1,0,0,1,0,0,0,0,0,0,0,1
6427034,618,94,50,27976,18.0,15.0,11.0,9.0,6.0,3.94,4.0,0.5319148936170213,0,1,0,1,0,0,0,1,0,0,0,0,0,1
6427036,833,114,68,33534,27.0,17.0,16.0,23.0,17.0,3.825,4.0,0.5964912280701754,1,0,1,0,0,1,0,0,0,0,0,0,1,0
6427037,941,106,76,30227,27.0,24.0,15.0,18.0,15.0,4.0,4.0,0.7169811320754716,1,0,0,1,0,0,1,0,0,0,0,0,1,0
6427038,717,114,64,32378,18.0,12.0,11.0,9.0,7.0,3.1,3.1,0.5614035087719298,1,0,0,0,1,1,0,0,0,0,0,0,1,0
6427039,773,126,58,12849,24.0,12.0,14.0,15.0,12.0,4.0,4.0,0.4603174603174603,0,1,1,0,0,0,1,0,0,0,0,0,0,1
6427040,1087,137,81,39875,30.0,29.0,29.0,27.0,29.0,3.9,3.9,0.5912408759124088,0,1,1,0,0,0,0,1,0,0,0,0,1,0
6427041,1128,120,71,32877,27.0,18.0,14.0,16.0,14.0,3.58,3.2,0.5916666666666667,1,0,1,0,0,1,0,0,0,0,0,0,0,1
6429001,622,44,25,13852,9.0,7.0,6.0,4.0,3.0,3.8,3.8,0.5681818181818182,0,1,0,1,0,0,1,0,0,1,0,0,0,0
6430002,1179,202,67,30620,30.0,30.0,29.0,27.0,29.0,4.0,4.0,0.3316831683168317,1,0,1,0,0,0,0,1,0,0,0,0,0,1
6430003,1720,211,136,24908,30.0,30.0,30.0,27.0,28.0,3.9,3.7,0.6445497630331753,1,0,0,0,1,0,1,0,0,0,0,1,0,0
6430004,832,42,37,30852,12.0,12.0,8.0,3.0,6.0,3.825,3.8,0.8809523809523809,0,1,0,0,1,1,0,0,0,0,0,0,1,0
6430008,171,22,7,4259,6.0,0.0,3.0,0.0,0.0,3.86,3.9,0.3181818181818182,1,0,0,0,1,1,0,0,0,0,0,0,0,1
6486001,1468,118,68,27078,30.0,29.0,26.0,29.0,27.0,3.85,3.7,0.576271186440678,0,1,0,0,1,0,0,0,1,0,0,0,0,1
6486002,1328,175,67,26675,30.0,30.0,27.0,27.0,29.0,3.94,3.9,0.3828571428571428,0,1,0,0,1,0,0,0,1,0,0,0,0,1
6486003,1084,123,70,37318,30.0,30.0,29.0,27.0,26.0,4.0,4.0,0.5691056910569106,1,0,0,0,1,0,1,0,0,0,0,0,0,1
6486004,1125,132,68,34418,30.0,30.0,29.0,30.0,29.0,3.925,3.9,0.5151515151515151,1,0,0,0,1,0,1,0,0,0,0,0,1,0
6486005,1098,153,70,26449,30.0,30.0,29.0,30.0,29.0,3.66,4.0,0.457516339869281,0,1,0,0,1,0,0,1,0,0,0,0,0,1
6486009,1094,137,63,30452,30.0,27.0,27.0,30.0,26.0,3.633333333333333,3.8,0.4598540145985401,1,0,0,0,1,0,0,0,1,0,0,0,1,0
6486011,413,17,7,97413,9.0,3.0,6.0,3.0,3.0,4.0,4.0,0.4117647058823529,1,0,0,0,1,1,0,0,0,0,0,0,1,0
